id,nome,categoria,tempo_secondi,ingredienti,prodotti,macchine
destroyer-capsule,Destroyer capsule,Combat,15,Distractor capsule x4; Speed module x1,Destroyer capsule x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
light-armor,Light armor,Combat,3,Iron plate x40,Light armor x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
heavy-armor,Heavy armor,Combat,8,Copper plate x100; Steel plate x50,Heavy armor x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
modular-armor,Modular armor,Combat,15,Advanced circuit x30; Steel plate x50,Modular armor x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
power-armor,Power armor,Combat,20,Processing unit x40; Electric engine unit x20; Steel plate x40,Power armor x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
power-armor-mk2,Power armor MK2,Combat,25,Efficiency module 2 x25; Speed module 2 x25; Processing unit x60; Electric engine unit x40; Low density structure x30,Power armor MK2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
solar-panel-equipment,Portable solar panel,Combat,10,Solar panel x1; Advanced circuit x2; Steel plate x5,Portable solar panel x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
fission-reactor-equipment,Portable fission reactor,Combat,10,Processing unit x200; Low density structure x50; Uranium fuel cell x4,Portable fission reactor x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
battery-equipment,Personal battery,Combat,10,Battery x5; Steel plate x10,Personal battery x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
battery-mk2-equipment,Personal battery MK2,Combat,10,Personal battery x10; Processing unit x15; Low density structure x5,Personal battery MK2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
belt-immunity-equipment,Belt immunity equipment,Combat,10,Advanced circuit x5; Steel plate x10,Belt immunity equipment x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
exoskeleton-equipment,Exoskeleton,Combat,10,Processing unit x10; Electric engine unit x30; Steel plate x20,Exoskeleton x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
personal-roboport-equipment,Personal roboport,Combat,10,Advanced circuit x10; Iron gear wheel x40; Steel plate x20; Battery x45,Personal roboport x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
personal-roboport-mk2-equipment,Personal roboport MK2,Combat,20,Personal roboport x5; Processing unit x100; Low density structure x20,Personal roboport MK2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
night-vision-equipment,Nightvision,Combat,10,Advanced circuit x5; Steel plate x10,Nightvision x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
energy-shield-equipment,Energy shield,Combat,10,Advanced circuit x5; Steel plate x10,Energy shield x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
energy-shield-mk2-equipment,Energy shield MK2,Combat,10,Energy shield x10; Processing unit x5; Low density structure x5,Energy shield MK2 x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
personal-laser-defense-equipment,Personal laser defense,Combat,10,Processing unit x20; Low density structure x5; Laser turret x5,Personal laser defense x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
discharge-defense-equipment,Discharge defense,Combat,10,Processing unit x5; Steel plate x20; Laser turret x10,Discharge defense x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
stone-wall,Wall,Combat,0.5,Stone brick x5,Wall x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
gate,Gate,Combat,0.5,Wall x1; Steel plate x2; Electronic circuit x2,Gate x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
radar,Radar,Combat,0.5,Electronic circuit x5; Iron gear wheel x5; Iron plate x10,Radar x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
land-mine,Land mine,Combat,5,Steel plate x1; Explosives x2,Land mine x4,assembling-machine-1; assembling-machine-2; assembling-machine-3
gun-turret,Gun turret,Combat,8,Iron gear wheel x10; Copper plate x10; Iron plate x20,Gun turret x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
laser-turret,Laser turret,Combat,20,Steel plate x20; Electronic circuit x20; Battery x12,Laser turret x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
flamethrower-turret,Flamethrower turret,Combat,20,Steel plate x30; Iron gear wheel x15; Pipe x10; Engine unit x5,Flamethrower turret x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
artillery-turret,Artillery turret,Combat,40,Steel plate x60; Concrete x60; Iron gear wheel x40; Advanced circuit x20,Artillery turret x1,assembling-machine-1; assembling-machine-2; assembling-machine-3
water,Offshore pump : Water,Fluids,1,,Water x1200,offshore-pump
steam,Boiler : Steam,Fluids,300,Water x1,Steam (165°C) x10,boiler
heat-exchanger-steam-boil,Heat exchanger : Steam,Fluids,970,Water x1,Steam (500°C) x10,heat-exchanger
iron-ore,Iron ore,Intermediate products,1,,Iron ore x1,burner-mining-drill; electric-mining-drill
copper-ore,Copper ore,Intermediate products,1,,Copper ore x1,burner-mining-drill; electric-mining-drill
coal,Coal,Intermediate products,1,,Coal x1,burner-mining-drill; electric-mining-drill
stone,Stone,Intermediate products,1,,Stone x1,burner-mining-drill; electric-mining-drill
uranium-ore,Uranium ore,Intermediate products,2,Sulfuric acid x1,Uranium ore x1,electric-mining-drill
crude-oil,Crude oil,Fluids,1,,Crude oil x10,pumpjack
